MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,LPC_1,LPC_2,LPC_3,LPC_4,LPC_5,LPC_6,LPC_7,LPC_8,LPC_9,LPC_10,LPC_11,LPC_12,LPC_13,PLP_1,PLP_2,PLP_3,PLP_4,PLP_5,PLP_6,PLP_7,PLP_8,PLP_9,PLP_10,PLP_11,PLP_12,PLP_13,Speaker
-228.77051164408536,68.10362824536823,-15.85736821852287,11.7106002774816,-25.53353862473356,-14.147774356739534,-31.81718333363131,-18.301290252318967,-18.52810403938785,-8.338961044512564,-7.632447269681545,-3.603066952248962,-7.885470997831064,1.0,-1.5514176651943057,1.4550287028927542,-1.180677808328053,0.7788160341121564,-0.6848225537357872,0.7155538264729819,-0.6620903436272889,0.5335057804819247,-0.4140557042082565,0.315590002600098,-0.2091000983633411,0.1800013241567768,-75.41172297168139,-1.0070650262372405,-0.5016529408087329,-0.6687968862948512,-0.7519013673527765,-0.8013973982114179,-0.834096829838679,-0.8572060759407476,-0.8743297825555242,-0.8874722584949981,-0.8978384225929724,-0.9061986919709728,-0.9154456689650484,Speaker_0000
-234.77424844747503,67.83686553730104,-22.539216269565312,10.254943947090055,-22.902453739216757,-14.44668622937671,-34.77530115376519,-19.212454172909595,-15.672968251995078,-7.715576171324159,-7.518471356330284,-1.0485516961454775,-8.260207485670021,1.0,-1.5974618379331489,1.5043630596279824,-1.1965094609568594,0.8564178365885363,-0.7498052454554027,0.7858801530789872,-0.7264114962789754,0.5233420159153376,-0.3972930625650859,0.3248314120789346,-0.2252672175264495,0.1835475058373603,-76.19985845615442,-1.006813063531084,-0.5015426463430058,-0.6686528306281403,-0.7517419798278103,-0.8012291413018736,-0.833922630512883,-0.857027571809745,-0.8741479436326197,-0.8872874418594275,-0.8976501267919307,-0.9060050404477564,-0.9144341487014022,Speaker_0000
-241.91416107672285,65.11391480424301,-18.321762532081248,18.25001676141045,-21.581351567978707,-18.65457179798666,-35.842742237166355,-19.61858116670988,-15.650627914249933,-7.773838140601448,-6.131713847126312,-2.926225969007373,-8.312672736591674,1.0,-1.5894730328278004,1.5274618757433045,-1.2000425028190496,0.7881135204297991,-0.7145256956623743,0.7498297678549022,-0.717347067815983,0.544847198656404,-0.3835950694538043,0.3114255669254701,-0.222507854201981,0.183406608053604,-77.03645631914972,-1.0075420672912423,-0.5017218818086503,-0.6688775203910683,-0.7519376364895496,-0.8013676100395727,-0.833991385304885,-0.8570210218773976,-0.8740643002804049,-0.8871274381400676,-0.8974164715555198,-0.9057021316235272,-0.9155214097724012,Speaker_0000
-224.59176261884423,66.1597856995372,-19.90017114671575,18.48866675300072,-21.664419062470248,-22.62167293072408,-36.62121475866272,-18.28135046030103,-18.985718510564045,-7.800895674163661,-6.121962602776377,-3.043938544429277,-8.900998998434444,1.0,-1.5838993071842058,1.5274054182676102,-1.1882095710321947,0.8015661568098702,-0.7666604948954462,0.7763528780606358,-0.7531035778096442,0.5589995947964527,-0.3666399655058889,0.3008861012263855,-0.2080154542522301,0.1796935749755712,-76.34929478535054,-1.0078669811487566,-0.501860000846721,-0.6690638084755064,-0.7521466891932609,-0.8015889521375457,-0.8342194756832327,-0.8572524371510923,-0.8742966304422426,-0.8873587980669875,-0.8976453587771344,-0.9059276416136424,-0.9159578904037275,Speaker_0000
-288.6350716200257,52.91889183769671,-14.118975632138296,17.193086854206758,-17.83076592851569,-19.849894304904154,-29.962768882537407,-13.048963873042837,-15.685463377543655,-9.363541313976976,-5.411865752382929,-2.3957501283452745,-6.684248175119831,1.0,-1.3359546882958333,1.2956948832453905,-1.0472151401600445,0.7246266011553298,-0.6810829431527908,0.6750293539130096,-0.6448445243726038,0.4767492906902545,-0.3079045101253503,0.2535578666469927,-0.1645461517348284,0.1502669631912016,-85.12485164450666,-1.0066113964427326,-0.5010479768802327,-0.6679929510898373,-0.750902208683047,-0.8002103744623148,-0.8327321853265646,-0.8556764873209529,-0.8726498669235024,-0.8856579522678294,-0.8959061002780656,-0.9041637377594764,-0.9144285402502594,Speaker_0000
-213.22429283177183,71.67671415158122,-24.319718700755004,16.45074864614161,-23.269930846212237,-21.55503976767009,-36.09961560531375,-19.033917092087755,-19.085828155265165,-12.808881370204295,-7.15077150081553,-1.0063298504083569,-7.63652939033726,1.0,-1.6929908391770414,1.6316280704207595,-1.252821200860278,0.8385899811370302,-0.7632300194012175,0.810531381331672,-0.7902716273659073,0.5652410957088533,-0.383069352355621,0.3314037666867516,-0.2399098641008951,0.1908219265429499,-74.69605857003505,-1.007795654190475,-0.5019548366051096,-0.6692078642225597,-0.752352132328157,-0.801859507634897,-0.8345556644003002,-0.8576528989678928,-0.87475857004186,-0.8878780951620291,-0.8982164559319155,-0.9065432163344416,-0.9157707156457728,Speaker_0000
-241.70590042448887,61.33021630991736,-19.26330560163299,16.51988061976865,-21.537761378100942,-16.657924361463216,-31.478065328655045,-19.845710331872777,-20.852711330339524,-12.14038048185835,-5.300396414743704,-1.3640040234926556,-5.2740066833460455,1.0,-1.5480346978799613,1.495107597147686,-1.2035732069419958,0.7918852002838179,-0.7083450262072347,0.7451062760642458,-0.7340229619430995,0.5671845367824201,-0.3987572793968337,0.3237825653862936,-0.2226058207304762,0.1785862354569934,-78.80649496424815,-1.0075053366784017,-0.5015750033742803,-0.6686875838133909,-0.7517040620766487,-0.8010913686486856,-0.8336739922087396,-0.8566644856648659,-0.8736709995002455,-0.8866999679079559,-0.8969575592555155,-0.905214739342635,-0.9154708872196786,Speaker_0000
-248.5772057610329,64.82985996930312,-19.88749762068282,17.36907718489556,-21.09816078013155,-21.66032298376843,-31.95542986394176,-15.89330561990849,-19.31612534051939,-11.4233149097022,-6.583207560524099,-0.9322704720226236,-5.807412234420339,1.0,-1.5664567751594618,1.497350575843741,-1.1463849707701537,0.7800345441830493,-0.7387557598506461,0.7517667166588299,-0.7280520762295829,0.543590485112723,-0.3799538576498338,0.3177314777088331,-0.2168503473403221,0.1776933974548309,-79.4304732067841,-1.0082293877270954,-0.5018616189930932,-0.669058496764616,-0.7520904389580564,-0.8014658755083329,-0.834023189138075,-0.8569810250343167,-0.8739507567522952,-0.8869407437699474,-0.8971583254913055,-0.9053749513821484,-0.9156413609997708,Speaker_0000
-236.5655954307906,62.54005540264586,-20.623892545422716,12.043005935906065,-29.169892082804928,-17.736310069812724,-29.325993662995383,-18.831983459873577,-13.850990218945553,-6.972186082896486,-7.677086207273432,-4.075602351371419,-5.604212340487332,1.0,-1.5324409314603054,1.5097690251715652,-1.1916854755838684,0.7227349869548363,-0.6101755102579504,0.6797995434991657,-0.6626373506174251,0.5394870839086244,-0.4248944490080032,0.365602556675242,-0.2676832448925878,0.1878782148930459,-79.4751722200047,-1.0079420857508223,-0.501597271671123,-0.6687191385119184,-0.7516955011535468,-0.8010234044327773,-0.8335380555517239,-0.8564568215828338,-0.873390368892805,-0.8863465859184582,-0.8965325557508166,-0.9047200169003332,-0.9157961105452884,Speaker_0000
-248.25663326010317,53.41164500074393,-16.61688211532741,23.75156410674379,-21.208038505214663,-21.522614712446916,-32.8384287686379,-17.57663637896291,-15.707007851193715,-10.396110332431943,-6.258247783578707,-1.4287123231518468,-8.489174563418407,1.0,-1.4383448615840646,1.4430595243291426,-1.143789586470363,0.7014511627215265,-0.6592874409633637,0.7052160251354544,-0.7184176803005058,0.5056751861246197,-0.3188620510355935,0.2796931499380116,-0.1846817084364508,0.1751469006323103,-80.37369099637317,-1.0088363613702802,-0.5018541713252407,-0.6690353132508229,-0.7519817153661023,-0.8012450720843646,-0.8336788139121524,-0.8565084482761773,-0.8733491079376374,-0.8862115928166004,-0.8963051749237541,-0.9044032811824348,-0.9166193921614476,Speaker_0000
